航班号     共享航班     经停站     目的站     办票时间     值机柜台     登机口     航班状态
7990       -----        -----       -----       -----       -----        -----        -----      
7990       -----        -----       -----       -----       -----        -----        -----      
7977       -----        -----       -----       -----       -----        -----        -----      
7990       -----        -----       -----       -----       -----        -----        -----      
1036       -----        -----       -----       -----       -----        -----        DEP     
1036       -----        -----       -----       -----       -----        -----        -----      
8357       -----        -----       -----       -----       -----        -----        CKI     
8349       -----        -----       -----       -----       -----        -----        CKI     
2217       -----        -----       -----       -----       -----        -----        CKI     
8353       -----        -----       -----       -----       -----        -----        CKI     
2877       -----        -----       -----       -----       -----        -----        CKI     
2751       -----        -----       -----       -----       -----        -----        CKI     
8357       -----        -----       -----       -----       H03          -----        -----      
8357       -----        -----       -----       -----       H03          -----        -----      
8349       -----        -----       -----       -----       H04          -----        -----      
8349       -----        -----       -----       -----       G21          -----        -----      
2217       -----        -----       -----       -----       H04          -----        -----      
2217       -----        -----       -----       -----       H06          -----        -----      
8353       -----        -----       -----       -----       G18          -----        -----      
8353       -----        -----       -----       -----       G19          -----        -----      
2877       -----        -----       -----       -----       G17          -----        -----      
2877       -----        -----       -----       -----       G16          -----        -----      
2751       -----        -----       -----       -----       G22          -----        -----      
2751       -----        -----       -----       -----       G21          -----        -----      
2911       -----        -----       -----       -----       -----        -----        CKI     
2911       -----        -----       -----       -----       H04          -----        -----      
2911       -----        -----       -----       -----       G18          -----        -----      
951        -----        -----       -----       -----       -----        -----        null     
951        -----        -----       -----       -----       B14          -----        -----      
951        -----        -----       -----       -----       B14          -----        -----      
2709       -----        -----       -----       -----       -----        -----        CKI     
2905       -----        -----       -----       -----       -----        -----        CKI     
2709       -----        -----       -----       -----       G18          -----        -----      
2709       -----        -----       -----       -----       G16          -----        -----      
2905       -----        -----       -----       -----       G21          -----        -----      
2905       -----        -----       -----       -----       H05          -----        -----      
1641       -----        -----       -----       -----       -----        -----        CKI     
363        -----        -----       -----       -----       -----        -----        CKI     
